problem,solver,settings,runtime,found,primal_residual,dual_residual,duality_gap
CVXQP1_S,clarabel,default,0.0027959690014540683,True,7.620570841027074e-13,1.2964340780492288e-12,1.8825000438482675e-06
CVXQP1_S,clarabel,high_accuracy,0.0029819700012012618,True,1.0658141036401503e-14,1.1804435350577603e-12,2.0293100533308461e-10
CVXQP1_S,clarabel,low_accuracy,0.0026875870007643243,True,2.575717417130363e-13,7.248846366366378e-13,0.00018824593246336008
CVXQP1_S,clarabel,mid_accuracy,0.002873921999707818,True,2.4868995751603507e-14,5.933238268751053e-13,1.886553491203813e-08
CVXQP1_S,cvxopt,default,0.017727468999510165,True,3.0860846933489228e-09,3.304216438220625e-13,0.00016156967114966392
CVXQP1_S,cvxopt,high_accuracy,0.028019339999445947,True,3.08625069944668e-11,2.839392042345674e-13,1.6157726463461586e-06
CVXQP1_S,cvxopt,low_accuracy,0.028811612000936293,True,3.0860846933489228e-09,3.304216438220625e-13,0.00016156967114966392
CVXQP1_S,cvxopt,mid_accuracy,0.009802796001167735,True,3.0860846933489228e-09,3.304216438220625e-13,0.00016156967114966392
CVXQP1_S,daqp,default,0.00018841899873223156,False,inf,inf,inf
CVXQP1_S,daqp,high_accuracy,0.00023320900072576478,False,inf,inf,inf
CVXQP1_S,daqp,low_accuracy,0.0002870860007533338,False,inf,inf,inf
CVXQP1_S,daqp,mid_accuracy,0.0002220659989689011,False,inf,inf,inf
CVXQP1_S,ecos,default,0.0005027620009059319,False,inf,inf,inf
CVXQP1_S,ecos,high_accuracy,0.0006046640010026749,False,inf,inf,inf
CVXQP1_S,ecos,low_accuracy,0.0005360570012271637,False,inf,inf,inf
CVXQP1_S,ecos,mid_accuracy,0.0005867419986316236,False,inf,inf,inf
CVXQP1_S,highs,default,0.0028493009995145258,True,2.6645352591003757e-15,1.323448941548122e-07,5.3064478038322704e-06
CVXQP1_S,highs,high_accuracy,0.002781569000944728,True,2.6645352591003757e-15,1.323448941548122e-07,5.3064478038322704e-06
CVXQP1_S,highs,low_accuracy,0.003061800000068615,True,2.6645352591003757e-15,1.323448941548122e-07,5.3064478038322704e-06
CVXQP1_S,highs,mid_accuracy,0.002871042999686324,True,2.6645352591003757e-15,1.323448941548122e-07,5.3064478038322704e-06
CVXQP1_S,osqp,default,0.01011066600040067,True,0.0006896678267124534,0.10028583886844444,0.2587951499986199
CVXQP1_S,osqp,high_accuracy,0.006645886000114842,True,1.285360706759775e-13,2.6636885357610106e-10,8.387512240647545e-10
CVXQP1_S,osqp,low_accuracy,0.005868636999366572,True,3.5095493359921237e-06,0.00017224541929102143,0.0010730613375509784
CVXQP1_S,osqp,mid_accuracy,0.006085590001021046,True,8.110217247780938e-09,2.3148716883780591e-07,2.289988246200829e-06
CVXQP1_S,piqp,default,0.0012219840009493055,True,1.0658141036401503e-14,2.2441952296503587e-08,3.877831886711647e-07
CVXQP1_S,piqp,high_accuracy,0.0030629579996457323,True,3.552713678800501e-15,2.2382096176443156e-12,3.89945853385143e-11
