problem,solver,settings,runtime,found,primal_residual,dual_residual,duality_gap
DUAL1,clarabel,default,0.0070750529994256794,True,0.0,2.6173297539535077e-15,5.768956229390554e-09
DUAL1,clarabel,high_accuracy,0.00852508800016949,True,1.1102230246251565e-16,3.569849710977069e-12,2.6880228598535894e-10
DUAL1,clarabel,low_accuracy,0.005325584999809507,True,0.0,5.543274986165997e-15,0.0002381987037435654
DUAL1,clarabel,mid_accuracy,0.007325762999244034,True,1.1102230246251565e-16,4.448772416585847e-15,8.371203270851613e-08
DUAL1,cvxopt,default,0.008692651999808731,True,0.0,2.9626216395724205e-15,5.489789310642035e-09
DUAL1,cvxopt,high_accuracy,0.009479033999014064,True,0.0,2.9626216395724205e-15,5.489789310642035e-09
DUAL1,cvxopt,low_accuracy,0.0157785920000606,True,0.0,2.9626216395724205e-15,5.489789310642035e-09
DUAL1,cvxopt,mid_accuracy,0.008964011998614296,True,0.0,2.9626216395724205e-15,5.489789310642035e-09
DUAL1,daqp,default,0.0005668330013577361,True,1.2323475573339238e-14,4.8433479449272454e-15,2.914335439641036e-16
DUAL1,daqp,high_accuracy,0.0005580299985012971,True,1.2323475573339238e-14,4.8433479449272454e-15,2.914335439641036e-16
DUAL1,daqp,low_accuracy,0.0005238989997451426,True,0.0005833811530557839,3.2890357104520263e-15,9.020562075079397e-17
DUAL1,daqp,mid_accuracy,0.000545963999684318,True,1.2323475573339238e-14,4.8433479449272454e-15,2.914335439641036e-16
DUAL1,ecos,default,0.020810169000469614,True,9.736655925962623e-14,6.0626033182825776e-06,1.0762487090421047e-07
DUAL1,ecos,high_accuracy,0.019478439999147668,True,9.736655925962623e-14,6.0626033182825776e-06,1.0762487090421047e-07
DUAL1,ecos,low_accuracy,0.022003485999448458,True,9.736655925962623e-14,6.0626033182825776e-06,1.0762487090421047e-07
DUAL1,ecos,mid_accuracy,0.01950756500082207,True,9.736655925962623e-14,6.0626033182825776e-06,1.0762487090421047e-07
DUAL1,highs,default,0.03628126299918222,True,2.220446049250313e-16,0.027062839664948535,0.0001508987460274655
DUAL1,highs,high_accuracy,0.035031421000894625,True,2.220446049250313e-16,0.027062839664948535,0.0001508987460274655
DUAL1,highs,low_accuracy,0.035799097999188234,True,2.220446049250313e-16,0.027062839664948535,0.0001508987460274655
DUAL1,highs,mid_accuracy,0.03946495799937111,True,2.220446049250313e-16,0.027062839664948535,0.0001508987460274655
DUAL1,osqp,default,0.0024343919994862517,True,2.494884218824924e-09,1.173576164650858e-07,6.908460027603518e-08
